Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-58199,5531653,Data missing from the performance analysis report,Bug,,,,2025-Sep-08 10:40 PM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-17 6:18 PM,,,,RV1486
TM-58198,5530886,Incomplete GOLD Walk - Inaccurate,Bug,TASK-25.7.1.6,,,2025-Sep-08 2:49 PM,SAAS,,,POD_MEMORY_ISSUE,RCA_Missing,Retrospective_Done,STOREWALK_FEEDBACK,SWA_RAR_SYNC_ISSUES,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.5,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Oct-22 5:01 PM,,,,NP5386
TM-58165,5525432,Project Not Launching/Failed,Bug,TASK-25.7.1.9,,,2025-Sep-05 9:49 AM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.7.1.11,,,,Duplicate Issue,TASK-25.7.1.11,,,,,Duplicate,,,2025-Sep-05 12:46 PM,,,,MS4969
TM-58149,5523293,"RFX - BP International Limited - TM - Unable to download answers from the task | 23450321",Bug,,,,2025-Sep-04 4:22 PM,SAAS,,,CAN_BE_TESTED,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.8.1.7,,,,Regression,,,,,,Work Complete,,,2025-Sep-16 11:02 AM,,,,RV1486
TM-58146,5523071,"RFX - Jumbo Supermarkten BV - AP - Empty plan summary from Approval inbox | 23454523",Bug,TASK-25.8.1.4,,,2025-Sep-04 2:42 PM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.NOCODEFIX,,,,Environment Specific,,,,,,Environmental Issue,,,2025-Sep-17 12:30 PM,,,,PA1587
TM-58134,5521246,Unable to edit time sensitive projects,Bug,,,,2025-Sep-04 6:44 AM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.0,,,,Duplicate Issue,TASK-25.9.1.0,,,,,Code Issue,,,2025-Sep-16 4:46 AM,,,,SD7273
TM-58110,5519001,Unable to open attachments on own iPhone,Bug,TASK-25.7.1.5,,,2025-Sep-03 3:37 PM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-17 10:37 AM,,,,MS4969
TM-58109,5518826,project were launched without admin's approval,Bug,TASK-25.7.1.6,,,2025-Sep-03 2:38 PM,SAAS,,,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Verify,TASK-26.1.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-22 11:07 AM,,,,SS2200
TM-58098,5518006,Collaboration Projects,Bug,,,,2025-Sep-03 9:30 AM,SAAS,,,CAN_BE_TESTED,CYB_RTM_Feat_POD_QA,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.8.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-04 2:45 PM,,,,SG6449
TM-58095,5517873,RE: rfx-mwcl51-pr-pulse-shard-00-00.rvdwq.mongodb.net     	Database - MongoDB - Mongo pulse CPU alert  	Critical,Bug,TASK-25.7.1.5,,,2025-Sep-03 9:13 AM,SAAS,,,NOC_ALERT,PROJECT_LAUNCH,WTM-RISK-REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,,,,,Performance,,,,,,Enhancement,,,2025-Sep-08 10:13 AM,,,,VP1789
TM-58075,5516158,VISUALIZACIÓN DE REPORTE,Bug,TASK-25.8.1.4,,,2025-Sep-03 2:30 AM,SAAS,,,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.DATA_FIX,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Sep-24 12:22 PM,,,,SG7981
TM-58056,5514942,"RFX - Jumbo Supermarkten BV - AP - Cannot launch plans | 23352157",Bug,TASK-25.7.1.5,,,2025-Sep-02 3:01 PM,SAAS,,,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,TASK-26.1.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-08 3:46 AM,,,,TG9928
TM-58049,5514237,"Walk showing completed, however photos are not available in reporting",Bug,TASK-25.7.1.5,,,2025-Sep-02 10:16 AM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,RELEASE_NOTES,Retrospective_Done,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,,Duplicate Issue,TASK-25.9.0.10,,,,,Duplicate,,,2025-Sep-15 6:00 PM,,,,RV1486
TM-58047,5514090,Unable to edit recurring projects,Bug,,,,2025-Sep-02 9:38 AM,SAAS,,,CAN_BE_TESTED,RCA_TestCase_Needed,RELEASE_NOTES,Retrospective_Done,SCRUM_VER,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,,Regression Missed Execution,TASK-25.9.1.0,,,,,Code Issue,,,2025-Sep-16 10:42 AM,,,,SD7273
TM-58040,5513615,DESKTOP myChat ONLY: Errors & Slow Performance,Bug,TASK-25.7.1.9,,,2025-Sep-02 7:08 AM,SAAS,,,RCA_Performance_Scalability,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.NOCODEFIX,,,,Not a Bug,,,,,,Works As Expected,,,2025-Sep-19 10:30 AM,,,,
TM-58039,5513536,View all templates as admin,Bug,TASK-25.7.1.5,,,2025-Sep-02 7:07 AM,SAAS,,,FT-Candidate-Bug,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Sep-09 6:01 AM,,,,AJ5718
TM-58037,5513460,INFO - DOCS - 'Logical Link' on how this works,Bug,,,,2025-Sep-02 6:42 AM,SAAS,,,CAN_BE_TESTED,RCA_Execution_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.0,,,,Legacy,TASK-25.9.0.10,,,,,Work Complete,,,2025-Sep-11 6:39 AM,,,,MS4969
TM-58027,5512652,Missing EBR Updates,Bug,TASK-25.7.1.11,,,2025-Sep-02 4:10 AM,SAAS,,,CAN_BE_TESTED,CST_Required,L2_Data_Correction,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.7.1.11,,,,Duplicate Issue,TASK-25.7.1.11,TASK-25.8.1.6,TASK-25.9.0.9,,,Duplicate,,,2025-Sep-04 5:00 PM,,,,VK3578
TM-58011,5510329,Missing form feature - editable form name,Bug,TASK-25.7.1.6,,,2025-Sep-01 9:14 AM,SAAS,,,L2_Data_Correction,RCA_DataIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25CONFIG,,,,Data Issue,,,,,,Script Issue,,,2025-Sep-10 9:29 AM,,,,AJ5718
